Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
4111856,411259,429331,2,01/01/2017,2120,U,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Serious,Female,16
4140822,407927,424775,2,04/01/2017,1500,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,67
4150220,405764,423328,2,05/01/2017,0732,A58,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,56
4150345,403496,425408,2,05/01/2017,0930,A646,Wet/Damp,Daylight:street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Serious,Male,20
41E0364,409208,421483,2,14/01/2017,0909,U,Frost/Ice,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,46
41F1023,409168,425177,1,15/01/2017,1659,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,37
41G0457,409464,423328,1,16/01/2017,1059,A646,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,25
41J1375,400810,425567,3,19/01/2017,1849,B6138,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,50
41K0828,407305,425298,1,20/01/2017,1408,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,64
41M0712,409427,425827,1,22/01/2017,1325,A58,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,22
41O0519,409710,423219,2,24/01/2017,1126,A629,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,21
41O1290,414715,424441,2,24/01/2017,1830,A641,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,29
41P0637,412069,428327,2,25/01/2017,1258,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24
41Q0527,398329,414184,3,26/01/2017,1133,A672,Wet/Damp,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,29
41Q0996,393098,423280,1,26/01/2017,1546,A6033,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,5
41R0704,404301,422923,1,27/01/2017,1335,U,Frost/Ice,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Female,14
41R1106,408794,425950,2,27/01/2017,1405,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,33
41R1599,409479,424784,2,27/01/2017,2233,U,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,28
41R1837,410943,420665,2,27/01/2017,1835,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,18
41T1074,408533,425632,1,29/01/2017,1430,U,Wet/Damp,Daylight:street lights present,Raining with high winds,Car,Pedestrian,Slight,Female,27
41T1644,405311,427337,2,29/01/2017,2230,U,Wet/Damp,Darkness: street lights present and lit,Fog or mist - if hazard,Car,Driver or rider,Slight,Female,60
41U0773,409208,425212,1,30/01/2017,1444,U,Dry,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,67
41V0794,409735,425742,2,31/01/2017,1435,A58,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,40
41V1319,407522,418222,2,31/01/2017,1840,U,Wet/Damp,Darkness: street lights present but unlit,Raining without high winds,Car,Driver or rider,Serious,Female,71
4210771,405785,424175,2,01/02/2017,1400,A6139,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,48
4220437,406938,425103,2,02/02/2017,1045,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,76
4221640,406389,423757,2,02/02/2017,2200,A58,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,22
4231362,405511,424194,1,03/02/2017,1806,A646,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,14
4240348,399418,427812,3,04/02/2017,0612,A6033,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,26
4240820,412461,425469,2,04/02/2017,1310,A644,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,65
